"","SNo","ObservationDate","Province.State","Country.Region","Last.Update","Confirmed","Deaths","Recovered"
"1",2,"01/22/2020","Beijing","Mainland China","1/22/2020 17:00",14,0,0
"2",40,"01/23/2020","Beijing","Mainland China","1/23/20 17:00",22,0,0
"3",88,"01/24/2020","Beijing","Mainland China","1/24/20 17:00",36,0,1
"4",131,"01/25/2020","Beijing","Mainland China","1/25/20 17:00",41,0,2
"5",176,"01/26/2020","Beijing","Mainland China","1/26/20 16:00",68,0,2
"6",223,"01/27/2020","Beijing","Mainland China","1/27/20 23:59",80,1,2
"7",277,"01/28/2020","Beijing","Mainland China","1/28/20 23:00",91,1,4
"8",328,"01/29/2020","Beijing","Mainland China","1/29/20 19:30",111,1,4
"9",385,"01/30/2020","Beijing","Mainland China","1/30/20 16:00",114,1,4
"10",443,"01/31/2020","Beijing","Mainland China","1/31/2020 23:59",139,1,5
"11",506,"02/01/2020","Beijing","Mainland China","2/1/2020 9:17",168,1,9
"12",572,"02/02/2020","Beijing","Mainland China","2020-02-02T08:43:02",191,1,9
"13",639,"02/03/2020","Beijing","Mainland China","2020-02-03T09:23:05",212,1,12
"14",707,"02/04/2020","Beijing","Mainland China","2020-02-04T08:33:01",228,1,23
"15",777,"02/05/2020","Beijing","Mainland China","2020-02-05T05:43:02",253,1,24
"16",848,"02/06/2020","Beijing","Mainland China","2020-02-06T03:23:11",274,1,31
"17",919,"02/07/2020","Beijing","Mainland China","2020-02-07T03:23:02",297,1,33
"18",991,"02/08/2020","Beijing","Mainland China","2020-02-08T03:13:09",315,2,34
"19",1063,"02/09/2020","Beijing","Mainland China","2020-02-09T03:43:02",326,2,37
"20",1135,"02/10/2020","Beijing","Mainland China","2020-02-10T03:13:08",337,2,44
"21",1208,"02/11/2020","Beijing","Mainland China","2020-02-11T03:03:07",342,3,48
"22",1281,"02/12/2020","Beijing","Mainland China","2020-02-12T02:43:03",352,3,56
"23",1354,"02/13/2020","Beijing","Mainland China","2020-02-13T14:13:06",366,3,69
"24",1428,"02/14/2020","Beijing","Mainland China","2020-02-14T06:33:02",372,3,80
