"","Sno","Date","Time","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"1",35,"03/02/20","6:00 PM","Delhi","1","0",0,0,1
"2",39,"03/03/20","6:00 PM","Delhi","1","0",0,0,1
"3",43,"03/04/20","6:00 PM","Delhi","1","0",0,0,1
"4",46,"03/05/20","6:00 PM","Delhi","2","0",0,0,2
"5",52,"03/06/20","6:00 PM","Delhi","3","0",0,0,3
"6",63,"03/07/20","6:00 PM","Delhi","3","0",0,0,3
"7",72,"03/08/20","6:00 PM","Delhi","3","0",0,0,3
"8",85,"03/09/20","6:00 PM","Delhi","4","0",0,0,4
"9",88,"03/10/20","6:00 PM","Delhi","4","0",0,0,4
"10",99,"03/11/20","6:00 PM","Delhi","5","0",0,0,5
"11",110,"03/12/20","6:00 PM","Delhi","6","0",0,0,6
"12",123,"03/13/20","6:00 PM","Delhi","6","0",0,0,6
"13",136,"03/14/20","6:00 PM","Delhi","7","0",1,1,7
"14",150,"03/15/20","6:00 PM","Delhi","7","0",2,1,7
"15",164,"03/16/20","6:00 PM","Delhi","7","0",2,1,7
"16",179,"03/17/20","6:00 PM","Delhi","8","0",2,1,8
"17",194,"03/18/20","6:00 PM","Delhi","9","1",2,1,10
"18",212,"03/19/20","6:00 PM","Delhi","11","1",3,1,12
"19",231,"03/20/20","6:00 PM","Delhi","16","1",5,1,17
"20",251,"03/21/20","6:00 PM","Delhi","25","1",5,1,26
"21",274,"03/22/20","6:00 PM","Delhi","28","1",5,1,29
"22",297,"03/23/20","6:00 PM","Delhi","28","1",5,1,29
"23",320,"03/24/20","6:00 PM","Delhi","29","1",6,1,30
"24",344,"03/25/20","6:00 PM","Delhi","30","1",6,1,31
"25",371,"03/26/20","6:00 PM","Delhi","35","1",6,1,36
"26",398,"03/27/20","10:00 AM","Delhi","35","1",6,1,36
"27",425,"03/28/20","6:00 PM","Delhi","38","1",6,1,39
"28",452,"03/29/20","7:30 PM","Delhi","-","-",6,2,49
"29",479,"03/30/20","9:30 PM","Delhi","-","-",6,2,87
"30",507,"03/31/20","8:30 PM","Delhi","-","-",6,2,97
"31",536,"04/01/20","7:30 PM","Delhi","-","-",6,2,152
"32",565,"04/02/20","6:00 PM","Delhi","-","-",8,4,219
"33",595,"04/03/20","6:00 PM","Delhi","-","-",8,4,219
"34",626,"04/04/20","6:00 PM","Delhi","-","-",15,6,445
"35",656,"04/05/20","6:00 PM","Delhi","-","-",18,7,503
"36",686,"04/06/20","6:00 PM","Delhi","-","-",19,7,523
"37",716,"04/07/20","6:00 PM","Delhi","-","-",21,7,576
"38",747,"04/08/20","5:00 PM","Delhi","-","-",21,9,576
"39",778,"04/09/20","5:00 PM","Delhi","-","-",21,9,669
"40",809,"04/10/20","5:00 PM","Delhi","-","-",25,13,898
"41",840,"04/11/20","5:00 PM","Delhi","-","-",25,14,903
"42",871,"04/12/20","5:00 PM","Delhi","-","-",25,19,1069
"43",902,"04/13/20","5:00 PM","Delhi","-","-",27,24,1154
"44",934,"04/14/20","5:00 PM","Delhi","-","-",30,28,1510
"45",967,"04/15/20","5:00 PM","Delhi","-","-",30,30,1561
"46",1000,"04/16/20","5:00 PM","Delhi","-","-",42,32,1578
"47",1033,"04/17/20","5:00 PM","Delhi","-","-",51,38,1640
"48",1066,"04/18/20","5:00 PM","Delhi","-","-",72,42,1707
"49",1099,"04/19/20","5:00 PM","Delhi","-","-",72,43,1893
"50",1132,"04/20/20","5:00 PM","Delhi","-","-",290,45,2003
"51",1165,"04/21/20","5:00 PM","Delhi","-","-",431,47,2081
"52",1198,"04/22/20","5:00 PM","Delhi","-","-",611,47,2156
"53",1230,"04/23/20","5:00 PM","Delhi","-","-",724,48,2248
"54",1262,"04/24/20","5:00 PM","Delhi","-","-",808,50,2376
"55",1294,"04/25/20","5:00 PM","Delhi","-","-",857,53,2514
"56",1326,"04/26/20","5:00 PM","Delhi","-","-",869,54,2625
"57",1358,"04/27/20","5:00 PM","Delhi","-","-",877,54,2918
