"","date","county","state","fips","cases","deaths"
"1","2020-03-01","New York City","New York",NA,1,0
"2","2020-03-02","New York City","New York",NA,1,0
"3","2020-03-03","New York City","New York",NA,2,0
"4","2020-03-04","New York City","New York",NA,2,0
"5","2020-03-05","New York City","New York",NA,4,0
"6","2020-03-06","New York City","New York",NA,5,0
"7","2020-03-07","New York City","New York",NA,12,0
"8","2020-03-08","New York City","New York",NA,14,0
"9","2020-03-09","New York City","New York",NA,20,0
"10","2020-03-10","New York City","New York",NA,37,0
"11","2020-03-11","New York City","New York",NA,52,0
"12","2020-03-12","New York City","New York",NA,96,0
"13","2020-03-13","New York City","New York",NA,155,0
"14","2020-03-14","New York City","New York",NA,269,1
"15","2020-03-15","New York City","New York",NA,330,5
"16","2020-03-16","New York City","New York",NA,464,7
"17","2020-03-17","New York City","New York",NA,646,11
"18","2020-03-18","New York City","New York",NA,1344,25
"19","2020-03-19","New York City","New York",NA,2477,31
"20","2020-03-20","New York City","New York",NA,4419,54
"21","2020-03-21","New York City","New York",NA,6226,75
"22","2020-03-22","New York City","New York",NA,9065,119
"23","2020-03-23","New York City","New York",NA,12329,155
"24","2020-03-24","New York City","New York",NA,14943,230
"25","2020-03-25","New York City","New York",NA,20061,330
"26","2020-03-26","New York City","New York",NA,23182,435
"27","2020-03-27","New York City","New York",NA,25509,560
"28","2020-03-28","New York City","New York",NA,30919,825
"29","2020-03-29","New York City","New York",NA,33983,991
"30","2020-03-30","New York City","New York",NA,38375,1202
"31","2020-03-31","New York City","New York",NA,43518,1475
"32","2020-04-01","New York City","New York",NA,47914,1848
"33","2020-04-02","New York City","New York",NA,52400,2152
"34","2020-04-03","New York City","New York",NA,57941,2648
"35","2020-04-04","New York City","New York",NA,64274,3221
"36","2020-04-05","New York City","New York",NA,68726,3646
"37","2020-04-06","New York City","New York",NA,73553,4857
"38","2020-04-07","New York City","New York",NA,78498,5631
"39","2020-04-08","New York City","New York",NA,83673,6441
"40","2020-04-09","New York City","New York",NA,89127,7249
"41","2020-04-10","New York City","New York",NA,94702,7981
"42","2020-04-11","New York City","New York",NA,100840,8734
"43","2020-04-12","New York City","New York",NA,105939,9448
"44","2020-04-13","New York City","New York",NA,109706,10096
"45","2020-04-14","New York City","New York",NA,113632,10857
"46","2020-04-15","New York City","New York",NA,121653,11566
"47","2020-04-16","New York City","New York",NA,126623,12109
"48","2020-04-17","New York City","New York",NA,131003,12283
"49","2020-04-18","New York City","New York",NA,135052,12411
"50","2020-04-19","New York City","New York",NA,138370,13632
"51","2020-04-20","New York City","New York",NA,140881,14074
"52","2020-04-21","New York City","New York",NA,143547,14513
"53","2020-04-22","New York City","New York",NA,146787,14959
"54","2020-04-23","New York City","New York",NA,150327,15361
"55","2020-04-24","New York City","New York",NA,155081,15754
"56","2020-04-25","New York City","New York",NA,159851,16146
"57","2020-04-26","New York City","New York",NA,163106,16486
"58","2020-04-27","New York City","New York",NA,165463,16821
"59","2020-04-28","New York City","New York",NA,167487,17206
"60","2020-04-29","New York City","New York",NA,170124,17597
"61","2020-04-30","New York City","New York",NA,172784,17809
"62","2020-05-01","New York City","New York",NA,174931,17931
"63","2020-05-02","New York City","New York",NA,177490,18021
"64","2020-05-03","New York City","New York",NA,179728,18451
"65","2020-05-04","New York City","New York",NA,181034,18580
"66","2020-05-05","New York City","New York",NA,182318,18719
"67","2020-05-06","New York City","New York",NA,183770,18993
"68","2020-05-07","New York City","New York",NA,185653,19141
"69","2020-05-08","New York City","New York",NA,187157,19210
"70","2020-05-09","New York City","New York",NA,188663,19324
"71","2020-05-10","New York City","New York",NA,189656,19436
"72","2020-05-11","New York City","New York",NA,190546,19563
"73","2020-05-12","New York City","New York",NA,191320,19736
"74","2020-05-13","New York City","New York",NA,192394,19815
"75","2020-05-14","New York City","New York",NA,193663,19904
"76","2020-05-15","New York City","New York",NA,195472,19972
"77","2020-05-16","New York City","New York",NA,196481,20071
"78","2020-05-17","New York City","New York",NA,197486,20214
"79","2020-05-18","New York City","New York",NA,198114,20298
"80","2020-05-19","New York City","New York",NA,198710,20376
"81","2020-05-20","New York City","New York",NA,199392,20422
"82","2020-05-21","New York City","New York",NA,200507,20491
"83","2020-05-22","New York City","New York",NA,201298,20569
"84","2020-05-23","New York City","New York",NA,202062,20621
"85","2020-05-24","New York City","New York",NA,202931,20697
"86","2020-05-25","New York City","New York",NA,203569,20740
"87","2020-05-26","New York City","New York",NA,204111,20795
"88","2020-05-27","New York City","New York",NA,204781,20844
"89","2020-05-28","New York City","New York",NA,205854,20895
"90","2020-05-29","New York City","New York",NA,206800,20960
"91","2020-05-30","New York City","New York",NA,207539,20991
"92","2020-05-31","New York City","New York",NA,208085,21050
"93","2020-06-01","New York City","New York",NA,208550,21090
"94","2020-06-02","New York City","New York",NA,209195,21132
"95","2020-06-03","New York City","New York",NA,209688,21170
"96","2020-06-04","New York City","New York",NA,210227,21234
"97","2020-06-05","New York City","New York",NA,210728,21262
"98","2020-06-06","New York City","New York",NA,211274,21294
"99","2020-06-07","New York City","New York",NA,211728,21323
"100","2020-06-08","New York City","New York",NA,212122,21356
"101","2020-06-09","New York City","New York",NA,212469,21396
"102","2020-06-10","New York City","New York",NA,212884,21436
"103","2020-06-11","New York City","New York",NA,213271,21468
"104","2020-06-12","New York City","New York",NA,213707,21519
"105","2020-06-13","New York City","New York",NA,214242,21551
"106","2020-06-14","New York City","New York",NA,214627,21578
"107","2020-06-15","New York City","New York",NA,215011,21600
"108","2020-06-16","New York City","New York",NA,215342,21619
"109","2020-06-17","New York City","New York",NA,215686,21645
"110","2020-06-18","New York City","New York",NA,216013,21673
"111","2020-06-19","New York City","New York",NA,216421,21710
"112","2020-06-20","New York City","New York",NA,216803,21719
"113","2020-06-21","New York City","New York",NA,217189,21753
"114","2020-06-22","New York City","New York",NA,217487,21796
"115","2020-06-23","New York City","New York",NA,217803,21817
"116","2020-06-24","New York City","New York",NA,218089,21838
"117","2020-06-25","New York City","New York",NA,218429,21856
"118","2020-06-26","New York City","New York",NA,218799,21893
"119","2020-06-27","New York City","New York",NA,219157,21913
"120","2020-06-28","New York City","New York",NA,219481,21940
"121","2020-06-29","New York City","New York",NA,219670,21941
"122","2020-06-30","New York City","New York",NA,219844,22566
"123","2020-07-01","New York City","New York",NA,220143,22574
"124","2020-07-02","New York City","New York",NA,220567,22593
"125","2020-07-03","New York City","New York",NA,221028,22610
"126","2020-07-04","New York City","New York",NA,221395,22630
"127","2020-07-05","New York City","New York",NA,221637,22661
"128","2020-07-06","New York City","New York",NA,221882,22672
"129","2020-07-07","New York City","New York",NA,222156,22690
"130","2020-07-08","New York City","New York",NA,222444,22696
"131","2020-07-09","New York City","New York",NA,222723,22719
"132","2020-07-10","New York City","New York",NA,223078,22739
"133","2020-07-11","New York City","New York",NA,223382,22750
"134","2020-07-12","New York City","New York",NA,223725,22755
"135","2020-07-13","New York City","New York",NA,223977,22795
"136","2020-07-14","New York City","New York",NA,224293,22808
"137","2020-07-15","New York City","New York",NA,224662,22825
"138","2020-07-16","New York City","New York",NA,225045,22842
"139","2020-07-17","New York City","New York",NA,225414,22848
"140","2020-07-18","New York City","New York",NA,225799,22859
"141","2020-07-19","New York City","New York",NA,226104,22872
"142","2020-07-20","New York City","New York",NA,226388,22882
"143","2020-07-21","New York City","New York",NA,226779,22895
"144","2020-07-22","New York City","New York",NA,227130,22899
"145","2020-07-23","New York City","New York",NA,227517,22934
"146","2020-07-24","New York City","New York",NA,227882,22936
"147","2020-07-25","New York City","New York",NA,228220,22947
"148","2020-07-26","New York City","New York",NA,228445,22956
"149","2020-07-27","New York City","New York",NA,228740,22970
"150","2020-07-28","New York City","New York",NA,228939,22977
"151","2020-07-29","New York City","New York",NA,229237,22982
"152","2020-07-30","New York City","New York",NA,229551,22996
"153","2020-07-31","New York City","New York",NA,229834,23002
"154","2020-08-01","New York City","New York",NA,230147,23007
"155","2020-08-02","New York City","New York",NA,230410,23012
"156","2020-08-03","New York City","New York",NA,230648,23021
"157","2020-08-04","New York City","New York",NA,230964,23027
"158","2020-08-05","New York City","New York",NA,231268,23034
"159","2020-08-06","New York City","New York",NA,231600,23563
"160","2020-08-07","New York City","New York",NA,231942,23567
"161","2020-08-08","New York City","New York",NA,232271,23575
"162","2020-08-09","New York City","New York",NA,232517,23580
"163","2020-08-10","New York City","New York",NA,232756,23586
"164","2020-08-11","New York City","New York",NA,233030,23592
"165","2020-08-12","New York City","New York",NA,233422,23602
"166","2020-08-13","New York City","New York",NA,233859,23610
"167","2020-08-14","New York City","New York",NA,234223,23615
"168","2020-08-15","New York City","New York",NA,234609,23621
"169","2020-08-16","New York City","New York",NA,234918,23628
"170","2020-08-17","New York City","New York",NA,235155,23634
"171","2020-08-18","New York City","New York",NA,235446,23642
"172","2020-08-19","New York City","New York",NA,235714,23643
"173","2020-08-20","New York City","New York",NA,235985,23639
"174","2020-08-21","New York City","New York",NA,236269,23641
"175","2020-08-22","New York City","New York",NA,236534,23646
"176","2020-08-23","New York City","New York",NA,236822,23658
"177","2020-08-24","New York City","New York",NA,237032,23662
"178","2020-08-25","New York City","New York",NA,237263,23666
"179","2020-08-26","New York City","New York",NA,237525,23669
"180","2020-08-27","New York City","New York",NA,237838,23674
"181","2020-08-28","New York City","New York",NA,238107,23680
"182","2020-08-29","New York City","New York",NA,238385,23683
"183","2020-08-30","New York City","New York",NA,238677,23689
"184","2020-08-31","New York City","New York",NA,238938,23695
"185","2020-09-01","New York City","New York",NA,239246,23703
"186","2020-09-02","New York City","New York",NA,239512,23708
"187","2020-09-03","New York City","New York",NA,239815,23710
"188","2020-09-04","New York City","New York",NA,240139,23716
"189","2020-09-05","New York City","New York",NA,240416,23721
"190","2020-09-06","New York City","New York",NA,240711,23721
"191","2020-09-07","New York City","New York",NA,240919,23736
"192","2020-09-08","New York City","New York",NA,241141,23744
"193","2020-09-09","New York City","New York",NA,241351,23741
"194","2020-09-10","New York City","New York",NA,241686,23741
"195","2020-09-11","New York City","New York",NA,241936,23739
"196","2020-09-12","New York City","New York",NA,242242,23743
"197","2020-09-13","New York City","New York",NA,242486,23743
"198","2020-09-14","New York City","New York",NA,242754,23750
"199","2020-09-15","New York City","New York",NA,243061,23758
"200","2020-09-16","New York City","New York",NA,243314,23762
"201","2020-09-17","New York City","New York",NA,243644,23767
"202","2020-09-18","New York City","New York",NA,243995,23775
"203","2020-09-19","New York City","New York",NA,244484,23771
"204","2020-09-20","New York City","New York",NA,244885,23777
"205","2020-09-21","New York City","New York",NA,245147,23782
"206","2020-09-22","New York City","New York",NA,245495,23780
"207","2020-09-23","New York City","New York",NA,245776,23780
"208","2020-09-24","New York City","New York",NA,246198,23785
"209","2020-09-25","New York City","New York",NA,246570,23792
"210","2020-09-26","New York City","New York",NA,247000,23795
