"","SNo","ObservationDate","Province.State","Country.Region","Last.Update","Confirmed","Deaths","Recovered"
"1",26,"01/22/2020","Shanghai","Mainland China","1/22/2020 17:00",9,0,0
"2",64,"01/23/2020","Shanghai","Mainland China","1/23/20 17:00",16,0,0
"3",92,"01/24/2020","Shanghai","Mainland China","1/24/20 17:00",20,0,1
"4",133,"01/25/2020","Shanghai","Mainland China","1/25/20 17:00",33,0,1
"5",180,"01/26/2020","Shanghai","Mainland China","1/26/20 16:00",40,1,1
"6",229,"01/27/2020","Shanghai","Mainland China","1/27/20 23:59",53,1,3
"7",281,"01/28/2020","Shanghai","Mainland China","1/28/20 23:00",66,1,4
"8",332,"01/29/2020","Shanghai","Mainland China","1/29/20 19:30",96,1,5
"9",386,"01/30/2020","Shanghai","Mainland China","1/30/20 16:00",112,1,5
"10",444,"01/31/2020","Shanghai","Mainland China","1/31/2020 23:59",135,1,9
"11",505,"02/01/2020","Shanghai","Mainland China","2/1/2020 6:05",169,1,10
"12",573,"02/02/2020","Shanghai","Mainland China","2020-02-02T05:53:02",182,1,10
"13",640,"02/03/2020","Shanghai","Mainland China","2020-02-03T07:03:12",203,1,10
"14",708,"02/04/2020","Shanghai","Mainland China","2020-02-04T06:33:02",219,1,12
"15",778,"02/05/2020","Shanghai","Mainland China","2020-02-05T06:23:04",243,1,15
"16",849,"02/06/2020","Shanghai","Mainland China","2020-02-06T06:53:07",257,1,25
"17",921,"02/07/2020","Shanghai","Mainland China","2020-02-07T06:14:15",277,1,30
"18",993,"02/08/2020","Shanghai","Mainland China","2020-02-08T06:33:02",286,1,41
"19",1065,"02/09/2020","Shanghai","Mainland China","2020-02-09T06:33:01",293,1,44
"20",1137,"02/10/2020","Shanghai","Mainland China","2020-02-10T06:03:13",299,1,48
"21",1209,"02/11/2020","Shanghai","Mainland China","2020-02-11T06:23:02",303,1,52
"22",1282,"02/12/2020","Shanghai","Mainland China","2020-02-12T06:23:08",311,1,57
"23",1355,"02/13/2020","Shanghai","Mainland China","2020-02-13T06:13:15",315,1,62
"24",1429,"02/14/2020","Shanghai","Mainland China","2020-02-14T04:13:11",318,1,90
"25",1504,"02/15/2020","Shanghai","Mainland China","2020-02-15T03:13:06",326,1,124
"26",1580,"02/16/2020","Shanghai","Mainland China","2020-02-16T02:53:02",328,1,140
